Name,Season,Team,GP,GS,Adj. GAA,Adj. Sv%,GSAA,W,L,T,OT,SO,GAA,Sv%,SA,Svs,GA,SAPG,TOI,G,A,P,PIM
Georges Vezina,1917-1918,MTL,21,21,2.08,0.0,0.0,12,9,0,0,1,3.93,0.0,0,0,84,,1282.25,0,0,0,0
Clint Benedict,1917-1918,SEN,22,22,2.7,0.0,0.0,9,13,0,0,1,5.11,0.0,0,0,114,,1337.25,0,0,0,0
Hap Holmes,1917-1918,TAN,16,16,2.5,0.0,0.0,9,7,0,0,0,4.73,0.0,0,0,76,,965.0,0,0,0,0
Clint Benedict,1918-1919,SEN,18,18,1.89,0.0,0.0,12,6,0,0,2,2.85,0.0,0,0,53,,1114.0,0,0,0,3
Georges Vezina,1918-1919,MTL,18,18,2.83,0.0,0.0,10,8,0,0,1,4.27,0.0,0,0,78,,1096.5,0,1,1,0
Bert Lindsay,1918-1919,TAN,16,16,3.37,0.0,0.0,5,11,0,0,0,5.09,0.0,0,0,83,,977.5,0,0,0,0
Clint Benedict,1919-1920,SEN,24,24,1.47,0.0,0.0,19,5,0,0,5,2.66,0.0,0,0,64,,1442.83,0,0,0,2
Georges Vezina,1919-1920,MTL,24,24,2.58,0.0,0.0,13,11,0,0,0,4.66,0.0,0,0,113,,1455.42,0,0,0,0
Ivan Mitchell,1919-1920,TSP,16,15,2.4,0.0,0.0,6,7,0,0,0,4.34,0.0,0,0,60,,830.0,0,0,0,0
Howard Lockhart,1919-1920,"TSP,QBD",8,5,3.23,0.0,0.0,4,3,0,0,0,5.84,0.0,0,0,36,,370.0,0,0,0,0
Frank Brophy,1919-1920,QBD,21,21,3.94,0.0,0.0,3,18,0,0,0,7.11,0.0,0,0,148,,1249.08,0,0,0,0
Clint Benedict,1920-1921,SEN,24,24,1.96,0.0,0.0,14,10,0,0,2,3.08,0.0,0,0,75,,1461.83,0,0,0,0
Jake Forbes,1920-1921,TSP,20,20,2.44,0.0,0.0,13,7,0,0,0,3.83,0.0,0,0,78,,1221.08,0,0,0,0
Georges Vezina,1920-1921,MTL,24,24,2.62,0.0,0.0,13,11,0,0,1,4.12,0.0,0,0,99,,1441.0,0,0,0,0
Howard Lockhart,1920-1921,HAM,24,24,3.47,0.0,0.0,6,18,0,0,1,5.45,0.0,0,0,132,,1454.25,0,0,0,0
Clint Benedict,1921-1922,SEN,24,24,2.32,0.0,0.0,14,8,2,0,2,3.34,0.0,0,0,84,,1507.67,0,0,0,0
Georges Vezina,1921-1922,MTL,24,24,2.66,0.0,0.0,12,11,1,0,0,3.84,0.0,0,0,94,,1468.5,0,0,0,2
John Ross Roach,1921-1922,TSP,22,22,2.82,0.0,0.0,11,10,1,0,0,4.07,0.0,0,0,91,,1340.0,0,0,0,0
Howard Lockhart,1921-1922,HAM,24,24,3.05,0.0,0.0,6,17,0,0,0,4.39,0.0,0,0,103,,1408.17,0,0,0,0
Clint Benedict,1922-1923,SEN,24,24,1.87,0.0,0.0,14,9,1,0,4,2.18,0.0,0,0,54,,1489.0,0,0,0,2
John Ross Roach,1922-1923,TSP,24,24,3.07,0.0,0.0,13,10,1,0,1,3.59,0.0,0,0,88,,1469.0,0,0,0,0
Georges Vezina,1922-1923,MTL,24,24,2.11,0.0,0.0,13,9,2,0,2,2.46,0.0,0,0,61,,1488.0,0,0,0,0
Jake Forbes,1922-1923,HAM,24,24,3.84,0.0,0.0,6,18,0,0,0,4.49,0.0,0,0,110,,1470.0,0,0,0,0
Clint Benedict,1923-1924,SEN,22,22,2.09,0.0,0.0,15,7,0,0,3,1.99,0.0,0,0,45,,1356.0,0,0,0,0
Georges Vezina,1923-1924,MTL,24,24,2.07,0.0,0.0,13,11,0,0,3,1.97,0.0,0,0,48,,1459.0,0,0,0,0
John Ross Roach,1923-1924,TSP,23,23,3.66,0.0,0.0,10,13,0,0,1,3.48,0.0,0,0,80,,1380.0,0,0,0,0
Jake Forbes,1923-1924,HAM,24,24,2.89,0.0,0.0,9,15,0,0,1,2.75,0.0,0,0,68,,1483.0,0,0,0,0
Jake Forbes,1924-1925,HAM,30,30,2.2,0.0,0.0,19,10,1,0,6,1.96,0.0,0,0,60,,1833.62,0,0,0,2
John Ross Roach,1924-1925,TSP,30,30,3.14,0.0,0.0,19,11,0,0,1,2.8,0.0,0,0,84,,1800.0,0,0,0,0
Alec Connell,1924-1925,SEN,30,30,2.4,0.0,0.0,17,12,1,0,7,2.14,0.0,0,0,66,,1852.28,0,0,0,2
Georges Vezina,1924-1925,MTL,30,30,2.03,0.0,0.0,17,11,2,0,5,1.81,0.0,0,0,56,,1860.0,0,0,0,0
Clint Benedict,1924-1925,MMR,30,30,2.38,0.0,0.0,9,19,2,0,2,2.12,0.0,0,0,65,,1843.0,0,0,0,2
Charles Stewart,1924-1925,BOS,21,21,3.46,0.0,0.0,5,16,0,0,2,3.08,0.0,0,0,65,,1265.83,0,0,0,0
