Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Actual GP,Prop GP,25+,True_Adj_GAA,True_Adj_Sv%,GSAA
Georges Vezina,19171918,MTL,L,21.0,21.0,12.0,9.0,0.0,0,0,0,84.0,0,3.93,1282.25,1.0,0.0,0.0,0.0,0.0,21.370833333333334,0.9714015151515152,Y,2.07612708369337,,
Clint Benedict,19171918,SEN,L,22.0,22.0,9.0,13.0,0.0,0,0,0,114.0,0,5.11,1337.25,1.0,0.0,0.0,0.0,0.0,22.2875,1.013068181818182,Y,2.699284455392273,,
Hap Holmes,19171918,TAN,L,16.0,16.0,9.0,7.0,0.0,0,0,0,76.0,0,4.73,965.0,0.0,0.0,0.0,0.0,0.0,16.083333333333332,0.731060606060606,Y,2.4990128472762256,,
Art Brooks,19171918,TAN,R,4.0,3.0,2.0,2.0,0.0,0,0,0,23.0,0,6.27,220.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.16666666666666666,N,3.312205668736433,,
Bert Lindsay,19171918,MWN,R,4.0,4.0,1.0,3.0,0.0,0,0,0,35.0,0,8.75,240.0,0.0,0.0,0.0,0.0,0.0,4.0,0.18181818181818182,N,4.622485709961321,,
Sammy Hebert,19171918,TAN,R,2.0,2.0,1.0,0.0,0.0,0,0,0,10.0,0,7.5,80.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0606060606060606,N,3.962130608538275,,
Clint Benedict,19181919,SEN,L,18.0,18.0,12.0,6.0,0,0,0,0,53.0,0,2.85,1114.0,2.0,0.0,0.0,0.0,3.0,18.566666666666666,1.0314814814814814,Y,1.8861302467643002,,
Georges Vezina,19181919,MTL,L,18.0,18.0,10.0,8.0,0,0,0,0,78.0,0,4.27,1096.5,1.0,0.0,1.0,1.0,0.0,18.275,1.0152777777777777,Y,2.826320331164508,,
Bert Lindsay,19181919,TAN,R,16.0,16.0,5.0,11.0,0,0,0,0,83.0,0,5.09,977.5,0.0,0.0,0.0,0.0,0.0,16.291666666666668,0.9050925925925927,Y,3.3687387016833865,,
Sprague Cleghorn,19181919,SEN,L,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.002777777777777778,N,0.0,,
Hap Holmes,19181919,TAN,L,2.0,2.0,0.0,2.0,0,0,0,0,9.0,0,4.5,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1111111111111111,N,2.9784595822994753,,
Clint Benedict,19191920,SEN,L,24.0,24.0,19.0,5.0,0,0,0,0,64.0,0,2.66,1442.8333333333333,5.0,0.0,0.0,0.0,2.0,24.04722222222222,1.0019675925925926,Y,1.4725799133969442,,
Georges Vezina,19191920,MTL,L,24.0,24.0,13.0,11.0,0,0,0,0,113.0,0,4.66,1455.4166666666667,0.0,0.0,0.0,0.0,0.0,24.256944444444446,1.0107060185185186,Y,2.5799838799133985,,
Ivan Mitchell,19191920,TSP,L,16.0,15.0,6.0,7.0,0,0,0,0,60.0,0,4.34,830.0,0.0,0.0,0.0,0.0,0.0,13.833333333333334,0.576388888888889,Y,2.402878035979889,,
Howard Lockhart,19191920,"TSP,QBD",L,8.0,5.0,4.0,3.0,0,0,0,0,36.0,0,5.84,370.0,0.0,0.0,0.0,0.0,0.0,6.166666666666667,0.2569444444444445,Y,3.2332960435526346,,
Frank Brophy,19191920,QBD,L,21.0,21.0,3.0,18.0,0,0,0,0,148.0,0,7.11,1249.0833333333333,0.0,0.0,0.0,0.0,0.0,20.818055555555553,0.8674189814814813,Y,3.936335485591339,,
Jake Forbes,19191920,TSP,L,5.0,5.0,2.0,3.0,0,0,0,0,21.0,0,4.2,300.0,0.0,0.0,0.0,0.0,0.0,5.0,0.20833333333333334,N,2.3252383797847407,,
Harry Mummery,19191920,QBD,L,3.0,2.0,1.0,1.0,0,0,0,0,18.0,0,7.63,141.5,0.0,0.0,0.0,0.0,0.0,2.3583333333333334,0.09826388888888889,N,4.224058390977353,,
Jack Darragh,19191920,SEN,R,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.03333333333333333,0.001388888888888889,N,0.0,,
Clint Benedict,19201921,SEN,L,24.0,24.0,14.0,10.0,0,0,0,0,75.0,0,3.08,1461.8333333333333,2.0,0.0,0.0,0.0,0.0,24.363888888888887,1.015162037037037,Y,1.9623482546787847,,
Jake Forbes,19201921,TSP,L,20.0,20.0,13.0,7.0,0,0,0,0,78.0,0,3.83,1221.0833333333333,0.0,0.0,0.0,0.0,0.0,20.351388888888888,0.847974537037037,Y,2.4399570891831663,,
Georges Vezina,19201921,MTL,L,24.0,24.0,13.0,11.0,0,0,0,0,99.0,0,4.12,1441.0,1.0,0.0,0.0,0.0,0.0,24.016666666666666,1.0006944444444443,Y,2.6247418950490244,,
Howard Lockhart,19201921,HAM,L,24.0,24.0,6.0,18.0,0,0,0,0,132.0,0,5.45,1454.25,1.0,0.0,0.0,0.0,0.0,24.2375,1.0098958333333334,Y,3.4723833299706417,,
Ivan Mitchell,19201921,TSP,L,4.0,4.0,2.0,2.0,0,0,0,0,22.0,0,5.5,240.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16666666666666666,N,3.5040447991743355,,
Clint Benedict,19211922,SEN,L,24.0,24.0,14.0,8.0,2,0,0,0,84.0,0,3.34,1507.6666666666667,2.0,0.0,0.0,0.0,0.0,25.12777777777778,1.0469907407407408,Y,2.3172210249220297,,
Georges Vezina,19211922,MTL,L,24.0,24.0,12.0,11.0,1,0,0,0,94.0,0,3.84,1468.5,0.0,0.0,0.0,0.0,2.0,24.475,1.0197916666666667,Y,2.6642443904794613,,
John Ross Roach,19211922,TSP,L,22.0,22.0,11.0,10.0,1,0,0,0,91.0,0,4.07,1340.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,0.9305555555555555,Y,2.8236260462715004,,
Howard Lockhart,19211922,HAM,L,24.0,24.0,6.0,17.0,0,0,0,0,103.0,0,4.39,1408.1666666666667,0.0,0.0,0.0,0.0,0.0,23.469444444444445,0.9778935185185186,Y,3.045944371872584,,
Ivan Mitchell,19211922,TSP,L,2.0,2.0,2.0,0.0,0,0,0,0,6.0,0,3.0,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08333333333333333,N,2.0814663083395253,,
Harry Mummery,19211922,HAM,L,1.0,0.0,1.0,0.0,0,0,0,0,2.0,0,2.45,49.0,0.0,0.0,0.0,0.0,0.0,0.8166666666666667,0.034027777777777775,N,1.6999148565731028,,
